id,name_cn,name_en,landmark_catalog_name,description_cn,description_en,map_name,x,y,landmark_catalog_id,landmark_catalog_uniform_id,map_id
821466,广智,Translation Pending,Yaoguai Chief,"<p>即演示中出现过的刀狼教头</p><p>[打法心得]</p><p>注意躲避冲锋技，然后如果被点燃记得连续翻滚可以灭火，有持续伤害</p><p>[奖励]:</p><p>【法术】赤潮：<span style=""font-family: var(--van-base-font);"">神通-变化广智</span></p>",Translation Pending,Black Wind Mountain,-1.067179466957839,0.7180514865645051,3281,11,48
821460,苍狼林-前山,Translation Pending,Shrine,"<p>类似篝火，建议每个土地庙都看下商店和铸造有没有新货</p><p>土地庙的功能会随着游戏进度逐步解锁，初始就有的3个功能是<br></p><p class=""MsoNormal"">调息：回满血、魔法、葫芦里的酒，同时妖怪们也会刷新复活。<span lang=""EN-US""><o:p></o:p></span></p><p class=""MsoNormal"">缩地：可以传送到已解锁的土地庙。</p><p class=""MsoNormal""><span style=""font-family: var(--van-base-font);"">谢礼：领取预购、豪华版奖励的装备，在游戏初期有些帮助。</span></p>",Translation Pending,Black Wind Mountain,-1.088327443434281,0.47253874482024116,3266,0,48
821461,苍狼林-林外,Translation Pending,Shrine,<p>[注意事项]:在第二个土地庙解锁了新功能。</p><p>修行-法术整备：当获得的法术技能越来越多后，在这里更换装备中的法术。</p><p>修行-天赋重修：可随时免费洗技能点。可以一下全部洗掉返还所有技能点，也可以有针对性地逐个挑选洗点。</p><p>货殖：就是商店，可以买卖物品。根据需要购买丹药、材料、药材，碎金片可以卖了换钱。</p>,Translation Pending,Black Wind Mountain,-1.1575833945760508,0.642549374256518,3266,0,48
821469,观音禅院,Translation Pending,Shrine,<p>[注意事项]</p><p>来到观音禅院，土地庙解锁“披挂铸造”功能，制作【行者套装】。</p><p>先搜刮下院子，左前方角落里有个宝箱，然后继续往前走打灵虚子。</p>,Translation Pending,Black Wind Mountain,-1.0129157989583746,0.6314815624696877,3266,0,48
821472,翠竹林-后山,Translation Pending,Shrine,<p>[注意事项]</p>,Translation Pending,Black Wind Mountain,-0.9442512481760161,0.715246521845259,3266,0,48
821474,隐·旧观音禅院,Translation Pending,Shrine,<p>[注意事项]</p><p>土地庙解锁兵器铸造，初始武器柳木棍可以进行升级。</p><p>在披挂铸造解锁制作【锦鳞套装】。</p>,Translation Pending,Black Wind Mountain,-0.913505664318194,0.6187614741232892,3266,0,48
821481,翠竹林-蛇径,Translation Pending,Shrine,<p>[注意事项]</p><p>推荐优先走右侧上山道路点化葫芦。回来就可以在土地庙拾遗之前击杀的幽魂的魂魄了。</p><p>击杀一个蛇人175经验，右手上坡过桥1个，打完右转跳下去1个，再沿路前进还有2个，一共700经验</p>,Translation Pending,Black Wind Mountain,-0.876932590482312,0.9702312038802745,3266,0,48
821486,翠竹林-白雾泽,Translation Pending,Shrine,<p>[注意事项] 黑风山过完后在黑风山任意土地庙购买珍玩【不求人】小幅增加气力上限</p>,Translation Pending,Black Wind Mountain,-0.61604829332083,0.8728017961159509,3266,0,48
821494,黑风洞-洞内,Translation Pending,Shrine,<p>[注意事项]</p><p>土地庙的披挂铸造解锁制作【青铜套装】<br></p>,Translation Pending,Black Wind Mountain,-0.41466526998630115,0.6289223357244964,3266,0,48
821498,黑风洞-洞外,Translation Pending,Shrine,<p>[注意事项]</p>,Translation Pending,Black Wind Mountain,-0.2932934165163772,0.6308205912819602,3266,0,48
821569,黑风洞-见谛峰,Translation Pending,Shrine,<p>类似篝火，建议每个土地庙都看下商店和铸造有没有新货</p><p>击杀黑熊精后回来可以买珍宝【不求人】</p>,Translation Pending,Black Wind Mountain,-0.13587041838590608,0.26905836640487735,3266,0,48
821478,翠竹林岩洞内打坐处,Translation Pending,Meditation Spot,<p>[地点描述]:坐上去欣赏风景可得一个技能点</p>,Translation Pending,Black Wind Mountain,-1.073800767068576,0.7927712114347258,3267,1,48
821493,黑风洞崖岸前打坐处,Translation Pending,Meditation Spot,<p>[地点描述]:坐上去欣赏风景可得一个技能点</p>,Translation Pending,Black Wind Mountain,-0.41971831749299326,0.6768296324010237,3267,1,48
821560,苍狼林山林内打坐处,Translation Pending,Meditation Spot,<p>[地点描述]:坐上去欣赏风景可得一个技能点</p><p>旁边坛子全打了有灵蕴</p>,Translation Pending,Black Wind Mountain,-1.1752996704273073,0.5586061639135949,3267,1,48
821463,材料宝箱,Translation Pending,Chest,"<p>[奖励物品]</p><p>随机掉落</p><p>碎金石×2+<span style=""font-family: var(--van-base-font);"">精石×3&nbsp;</span><span style=""font-family: var(--van-base-font);"">或者 碎金石×5</span></p>",Translation Pending,Black Wind Mountain,-1.125556396665388,0.44540371981938165,3268,2,48
821465,避凶药×2,Translation Pending,Chest,<p>[奖励物品]</p><p>避凶药×2</p><p>碎金片×5</p>,Translation Pending,Black Wind Mountain,-1.1128207167157314,0.6482714793780957,3268,2,48
821475,南海念珠,Translation Pending,Chest,<p>[注意事项]</p><p>附近有好几个宝箱，这个是手套</p>,Translation Pending,Black Wind Mountain,-0.8675578558878669,0.6127686278276627,3268,2,48
821479,材料宝箱,Translation Pending,Chest,<p>[注意事项]</p><p>棺材式样的宝箱，掉落物随机</p>,Translation Pending,Black Wind Mountain,-0.9480017999224799,0.8237258810117822,3268,2,48
821480,3样药剂,Translation Pending,Chest,<p>[注意事项]</p><p>清凉散、伏虎丸×2、益气膏</p><p>或度瘴散，延寿膏，避凶药</p>,Translation Pending,Black Wind Mountain,-0.9023934750152307,0.9025452745392499,3268,2,48
821500,铁中血,Translation Pending,Chest,<p>铁中血（中等级强化素材）+碎金片×5 或棉纱*4</p>,Translation Pending,Black Wind Mountain,-0.25603643260305375,0.5556061062312523,3268,2,48
821561,材料宝箱,Translation Pending,Chest,"<p>[奖励物品]:</p><p>碎金片×2&nbsp;<span style=""font-family: var(--van-base-font);"">精石×3 或 碎金片×5</span></p>",Translation Pending,Black Wind Mountain,-1.0219905714346567,0.6449651056851167,3268,2,48
821562,棉纱×2,Translation Pending,Chest,<p>[奖励物品]:</p><p>棉纱或精石×2</p><p>碎金片×5</p>,Translation Pending,Black Wind Mountain,-0.9461321145483055,0.6769011658530246,3268,2,48
821589,精石×3,Translation Pending,Chest,<p>[奖励物品]:精石×3</p>,Translation Pending,Black Wind Mountain,-0.8620255235932461,0.6066271037507391,3268,2,48
821590,棉纱×3,Translation Pending,Chest,<p>[奖励物品]:棉纱×3</p>,Translation Pending,Black Wind Mountain,-0.8599941260099797,0.6172111506488847,3268,2,48
821593,碎金块×5,Translation Pending,Chest,<p>[奖励物品]:碎金块×5</p>,Translation Pending,Black Wind Mountain,-0.5591223662418372,0.8223949571304274,3268,2,48
821785,擎电尾,Translation Pending,Chest,<p>[奖励物品]:击杀BOSS后出现</p>,Translation Pending,Black Wind Mountain,-1.1341805955756001,0.6888912596385808,3268,2,48
821471,碧藕金丹,Translation Pending,Pill,<p>[注意事项]</p><p>可提升生命上限，不要错过</p>,Translation Pending,Black Wind Mountain,-0.9936897247392835,0.6987682843307397,3269,3,48
821492,太乙紫金丹,Translation Pending,Pill,<p>提升法术上限</p>,Translation Pending,Black Wind Mountain,-0.4298319403923472,0.6776583831563414,3269,3,48
821501,九转金丹,Translation Pending,Pill,<p>[注意事项]</p><p>提高最大气力</p>,Translation Pending,Black Wind Mountain,-0.2304693676440479,0.41340948027374225,3269,3,48
821566,胆中珠,Translation Pending,Vessel/Drink/Soak,<p>[注意事项]</p><p>打面前的蛇妖救出申猴，得到【泡酒物】胆中珠<br></p>,Translation Pending,Black Wind Mountain,-0.5897973008715383,0.8075077401223609,3270,4,48
821567,瑶池莲子,Translation Pending,Vessel/Drink/Soak,<p>[注意事项]</p><p>在申猴这里可以买到【泡酒物】瑶池莲子<br></p><p>可以喝酒后略微持续回血</p>,Translation Pending,Black Wind Mountain,-0.6636556527411983,0.7918571636055276,3270,4,48
821629,嫩玉藕(概率),Translation Pending,Vessel/Drink/Soak,<p>[注意事项]击败青蛙概率获取或采集植物</p>,Translation Pending,Black Wind Mountain,-1.245741639463489,0.5714137957292849,3270,4,48
821558,缩地青符,Translation Pending,Key Item,<p>[获取方式]:<br>与土地公对话获得</p><p>[用途]:</p><p>回到最近的上一个土地庙</p>,Translation Pending,Black Wind Mountain,-1.0748387392351333,0.4780545219076373,3273,6,48
821559,色蕴,Translation Pending,Key Item,<p>[获取方式]:<br>老鼠妖精藏在河道尽头一个佛头处，拾取</p><p>[用途]:</p><p>后续剧情中可获得里面的道具</p>,Translation Pending,Black Wind Mountain,-1.2400068131423438,0.43928395140139287,3273,6,48
821555,猫睛宝串,Translation Pending,Curio,<p>[获取方式]:</p><p>击败幽魂后获得</p><p>[珍玩]:<br></p><p>些微增加暴击率</p>,Translation Pending,Black Wind Mountain,-1.0825535907631547,0.6154262150327838,3274,7,48
821568,玛瑙罐,Translation Pending,Curio,"<p>[获取方式]:</p><p><span style=""font-family: var(--van-base-font);"">主干道左侧一口钟旁边，开小盒子得到【珍玩】玛瑙罐。</span></p><p class=""MsoNormal""><span lang=""EN-US""><o:p></o:p></span></p>",Translation Pending,Black Wind Mountain,-0.36436010668052177,0.6320511085749985,3274,7,48
821491,辟火罩,Translation Pending,Vessel,<p>[获取方式]</p><p>击败金池长老后，查看吊着的狼妖，得到【法宝】辟火罩，专门用于打黑熊精。</p>,Translation Pending,Black Wind Mountain,-0.4332810163293175,0.7305402190029469,3275,8,48
821499,狼刺客精魄,Translation Pending,Spirit,<p>[获取方式]</p><p>击败宝箱附近的狼妖得到<br></p>,Translation Pending,Black Wind Mountain,-0.23016836310711142,0.5412356148740116,3276,9,48
821564,波里个浪的精魂,Translation Pending,Spirit,<p>[获取方式]:击败头目波里个浪</p>,Translation Pending,Black Wind Mountain,-1.0299088599442996,1.1081943470450426,3276,9,48
821565,广谋的精魂,Translation Pending,Spirit,<p>[获取方式]:击败广谋后获得</p>,Translation Pending,Black Wind Mountain,-0.6049307043591057,1.021511500469174,3276,9,48
821503,幽魂的精魂,Translation Pending,Spirit,<p>[获取方式]</p><p>击败幽魂后获取，这个变身非常好用，高伤害+高硬直。</p><p>前期击杀后不能拾取，在后面找到葫芦仙人点化后可以在土地庙炼精里面领取。</p><p><br></p>,Translation Pending,Black Wind Mountain,-1.1016189843532516,0.6167296067930579,3276,9,48
821477,马哥,Translation Pending,Characters,"<div><span style=""font-family: var(--van-base-font);"">开启马哥系列支线，会在后面的章节不断遇到他</span><br></div>",Translation Pending,Black Wind Mountain,-1.070847666222761,0.8110807042326513,3280,10,48
821488,申猴,Translation Pending,Characters,申猴会一直待在这里，为玩家提供葫芦方面的升级。<div>后面章节也可以回来升级葫芦</div><div>NPC每章结束后会增加可购买商品</div>,Translation Pending,Black Wind Mountain,-0.6440863994845358,0.7955154493870253,3280,10,48
821563,葫芦仙人,Translation Pending,Characters,"<p>[相关事件]:<br></p><p>以后会多次遇到的NPC，<span style=""font-family: var(--van-base-font);"">葫芦仙人会点化你的葫芦，然后就可以用葫芦吸收精魄了。和葫芦仙人反复对话直到重复为止。</span></p><p>[奖励]:</p><p>解锁【吸收精魄】功能</p>",Translation Pending,Black Wind Mountain,-0.8317022058258488,1.0290588737372985,3280,10,48
821574,土地公(林外),Translation Pending,Characters,<p>[相关事件]:<br></p><p>参拜土地庙后出现</p><p>[体验]:</p><p>体验一次神通-变身金蝉</p><p>一旦恢复人形，则不可再次变身。</p><p>可购买珍玩[不求人]，增加气力上限</p>,Translation Pending,Black Wind Mountain,-1.1682825785835576,0.6420671109978286,3280,10,48
821575,土地公(前山),Translation Pending,Characters,<p>[相关事件]:<br></p><p>告诉你需要参拜土地庙</p><p>[奖励]:</p><p>缩地青符<br></p>,Translation Pending,Black Wind Mountain,-1.0860970292375782,0.4642667946502286,3280,10,48
821464,牯护院,Translation Pending,Yaoguai Chief,<p>[奖励]:</p><p>与牯护院战斗过半，土地公会出现并传授你 法术【定身】</p>,Translation Pending,Black Wind Mountain,-1.2155445825765696,0.4741060641425179,3281,11,48
821482,波里个浪,Translation Pending,Yaoguai Chief,<p>[奖励]</p><p>可获得它的精魄</p>,Translation Pending,Black Wind Mountain,-1.0285831448236422,1.089763762048392,3281,11,48
821484,广谋,Translation Pending,Yaoguai Chief,<p>[奖励]</p><p>可获得广谋的精魄</p><p>记得转棍化解 远程攻击</p><p>点出减少异常状态的加点 降低难度</p>,Translation Pending,Black Wind Mountain,-0.6222698307683174,1.051683772902706,3281,11,48
821489,白衣秀士,Translation Pending,Yaoguai Chief,<p>注意，这个BOSS有2条血，会二阶段变身</p><p>[奖励]</p><p>武器升级材料【玉垂牙】</p>,Translation Pending,Black Wind Mountain,-0.5482667794590839,0.7447240996296074,3281,11,48
821576,幽魂,Translation Pending,Yaoguai Chief,<p>[奖励]:</p><p>幽魂的精魄、猫晴宝串</p><p>[攻略要点]:</p><p>撞到石碑有长硬直，在石碑旁等待即可。</p><p>建议先打了广智拿变身再打，一直用轻击+劈棍可以无限硬直，怪血不多了就开变身广智收掉。</p><p>不过还是挺难打的，打不过直接走也行，打不了打完灵虚子再打他，魂3太刀哥了属于是。</p><p>【重要提示！敲完三钟，击杀金池幽魂将消失，无法获得精魄，请提前击杀】</p>,Translation Pending,Black Wind Mountain,-1.0948689331752917,0.6291817924160625,3281,11,48
821470,灵虚子,Translation Pending,Yaoguai King,<p>[奖励]:</p><p>【头冠】白脸子、【稀有材料】玲珑内丹</p><p>[攻略要点]:</p><p>弱火伤，变个刀狼狠狠鞭打</p>,Translation Pending,Black Wind Mountain,-0.9840766876291127,0.6651250380693199,3282,12,48
821473,金池长老,Translation Pending,Yaoguai King,<p>敲响地图的三个钟就可以打这个BOSS。</p><p>当他升到空中时注意，四周会有很多僵尸向金池长老走去，赶紧消灭这些僵尸，不然金池长老会靠僵尸回血。（你攻击僵尸也会给你回血）<br></p><p>[奖励]</p><p>法宝【避火罩】</p>,Translation Pending,Black Wind Mountain,-0.8856269141881796,0.6512718607334449,3282,12,48
821497,黑风大王,Translation Pending,Yaoguai King,<p>[打法心得]</p><p>BOSS会化为雾气，注意躲避，不急</p><p>[奖励]</p><p>【法术】聚形散气<br></p>,Translation Pending,Black Wind Mountain,-0.37838429115302574,0.6286342038764872,3282,12,48
821502,黑熊精,Translation Pending,Yaoguai King,<p>[打法简要]</p><p>黑熊精二阶段会使用火焰攻击，务必先去获得辟火罩后再来打，能简单非常多</p><p>[奖励]</p><p>击败黑熊精后获得“根器”，效果三选一，在土地庙洗点时也可以更换根器效果。</p><p>以及其他大量优质材料奖励</p><p>击杀后的图画放大之后会有对话。</p>,Translation Pending,Black Wind Mountain,-0.13969356050310466,0.37144670830738846,3282,12,48
821504,赤髯龙,Translation Pending,Yaoguai King,<p>需要在第二章获取了“龙鳞”后，回来对着瀑布互动后触发</p><p>[奖励]麟棍·蟠龙图纸 博山炉 掣电尾 龙珠</p>,Translation Pending,Black Wind Mountain,-1.1294863957744496,0.6854081142715529,3282,12,48
821487,落伽香藤,Translation Pending,Luojia Fragrant Vine,用于提升葫芦使用次数,Translation Pending,Black Wind Mountain,-0.5756797268166451,0.8943415524895784,3278,13,48
821495,三冬虫,Translation Pending,Awaken Wine Worm,<p>在发光的罐子里，打碎后获得，用于升级酒品</p>,Translation Pending,Black Wind Mountain,-0.38844302918747076,0.6397210557112913,3279,14,48
821557,老山参,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集有红色果实的药草</p>,Translation Pending,Black Wind Mountain,-1.1327806915682004,0.37318170045408294,3277,15,48
821570,碧藕×2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:河道里采集</p>,Translation Pending,Black Wind Mountain,-1.1577640406397904,0.4383353657799631,3277,15,48
821571,龙胆×2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集药材</p>,Translation Pending,Black Wind Mountain,-1.1496628070084398,0.40065322674506376,3277,15,48
821572,碧藕,Translation Pending,Medicinal Ingredient,<p>[获得方式]:小池塘里</p>,Translation Pending,Black Wind Mountain,-1.253772285911566,0.5692847538414867,3277,15,48
821573,紫芝,Translation Pending,Medicinal Ingredient,<p>[获得方式]:</p>,Translation Pending,Black Wind Mountain,-1.210544669665353,0.5270737744455829,3277,15,48
821577,紫芝,Translation Pending,Medicinal Ingredient,<p>[获得方式]:乌鸦怪旁采集</p>,Translation Pending,Black Wind Mountain,-1.173637860191974,0.4713559729272845,3277,15,48
821578,龙胆×2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集药草</p>,Translation Pending,Black Wind Mountain,-1.2463579091184442,0.3935572693132059,3277,15,48
821591,龙胆,Translation Pending,Medicinal Ingredient,<p>[获得方式]采集</p>,Translation Pending,Black Wind Mountain,-1.189675984144003,0.6006754586995982,3277,15,48
821592,老山参,Translation Pending,Medicinal Ingredient,<p>[获得方式]:</p>,Translation Pending,Black Wind Mountain,-0.20367432397699758,0.3784727660995202,3277,15,48
821594,龙胆x2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:直接采集</p>,Translation Pending,Black Wind Mountain,-1.1820170408797708,0.5771968276244763,3277,15,48
821595,紫芝 x1,Translation Pending,Medicinal Ingredient,<p>[获得方式]:河岸边</p>,Translation Pending,Black Wind Mountain,-1.209858289260353,0.4310853507563195,3277,15,48
821596,碧藕,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集</p>,Translation Pending,Black Wind Mountain,-0.3792479358625087,0.6191172391631596,3277,15,48
821613,老山参×2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集</p>,Translation Pending,Black Wind Mountain,-1.0997946355162753,0.6140853220673961,3277,15,48
821614,紫芝×2,Translation Pending,Medicinal Ingredient,<p>[获得方式]:采集获得</p>,Translation Pending,Black Wind Mountain,-1.014222132423555,0.6578161063084735,3277,15,48
